bilesen,genlik_m,genlik_cm,genlik_hata_cm,faz_derece,SNR
M2,0.095934,9.5934,0.0398,241.41,58104.2
SA,0.089237,8.9237,0.5518,238.72,261.6
S2,0.055875,5.5875,0.0398,256.65,19711.6
SSA,0.040197,4.0197,0.5481,257.36,53.8
K1,0.024593,2.4593,0.0359,283.89,4698.3
O1,0.018315,1.8315,0.0359,263.42,2605.6
K2,0.016298,1.6298,0.0398,252.99,1677.1
N2,0.015833,1.5833,0.0398,243.78,1582.7
P1,0.008827,0.8827,0.0359,300.82,605.3
S1,0.007478,0.7478,0.0359,281.58,434.3
L2,0.003098,0.3098,0.0398,245.83,60.6
H1,0.002965,0.2965,0.0398,190.10,55.5
NU2,0.002917,0.2917,0.0398,244.88,53.7
Q1,0.002829,0.2829,0.0359,248.35,62.2
T2,0.002765,0.2765,0.0398,302.68,48.3
MU2,0.002392,0.2392,0.0398,264.24,36.1
M3,0.002275,0.2275,0.0156,16.27,213.6
H2,0.002142,0.2142,0.0398,123.45,29.0
2N2,0.001969,0.1969,0.0398,237.78,24.5
NO1,0.001669,0.1669,0.0359,293.68,21.6
GAM2,0.001667,0.1667,0.0398,334.34,17.6
R2,0.001467,0.1467,0.0398,300.39,13.6
MKS2,0.001428,0.1428,0.0398,32.76,12.9
OO1,0.001315,0.1315,0.0359,254.25,13.4
SK3,0.001226,0.1226,0.0156,289.28,62.1
J1,0.001220,0.1220,0.0359,290.07,11.6
LDA2,0.001117,0.1117,0.0398,237.79,7.9
EPS2,0.000973,0.0973,0.0398,250.94,6.0
PI1,0.000871,0.0871,0.0359,249.32,5.9
ETA2,0.000745,0.0745,0.0398,252.32,3.5
PHI1,0.000623,0.0623,0.0359,345.67,3.0
MO3,0.000623,0.0623,0.0156,89.89,16.0
SO1,0.000557,0.0557,0.0359,281.96,2.4
CHI1,0.000554,0.0554,0.0359,311.61,2.4
S4,0.000405,0.0405,0.0133,209.31,9.2
MK4,0.000403,0.0403,0.0133,94.22,9.1
SO3,0.000356,0.0356,0.0156,111.31,5.2
MS4,0.000311,0.0311,0.0133,118.64,5.4
2SM6,0.000180,0.0180,0.0090,355.66,4.0
