bilesen,genlik_m,genlik_cm,genlik_hata_cm,faz_derece,SNR
M2,0.096621,9.6621,0.0594,241.54,26455.9
SA,0.091835,9.1835,0.6112,248.38,225.8
S2,0.057014,5.7014,0.0594,255.96,9211.5
SSA,0.045235,4.5235,0.6051,242.50,55.9
K1,0.024648,2.4648,0.0724,286.59,1159.7
O1,0.018389,1.8389,0.0724,264.54,645.5
K2,0.016161,1.6161,0.0594,252.33,740.1
N2,0.016108,1.6108,0.0594,242.14,735.4
P1,0.009824,0.9824,0.0724,300.82,184.2
S1,0.005892,0.5892,0.0724,326.57,66.3
L2,0.003162,0.3162,0.0594,234.35,28.3
NU2,0.003087,0.3087,0.0594,249.82,27.0
T2,0.003005,0.3005,0.0594,273.43,25.6
Q1,0.002551,0.2551,0.0724,249.57,12.4
MU2,0.002280,0.2280,0.0594,261.02,14.7
M3,0.002021,0.2021,0.0334,12.56,36.6
PI1,0.001958,0.1958,0.0724,253.63,7.3
2N2,0.001899,0.1899,0.0594,242.66,10.2
PHI1,0.001805,0.1805,0.0724,307.69,6.2
NO1,0.001795,0.1795,0.0724,274.10,6.1
J1,0.001679,0.1679,0.0724,272.57,5.4
OO1,0.001301,0.1301,0.0724,279.54,3.2
H1,0.001218,0.1218,0.0594,167.77,4.2
OQ2,0.001214,0.1214,0.0594,270.69,4.2
H2,0.001176,0.1176,0.0594,214.46,3.9
PSI1,0.001160,0.1160,0.0724,50.00,2.6
LDA2,0.001002,0.1002,0.0594,277.53,2.8
SK3,0.000950,0.0950,0.0334,288.82,8.1
R2,0.000943,0.0943,0.0594,317.34,2.5
MKS2,0.000900,0.0900,0.0594,93.39,2.3
ETA2,0.000851,0.0851,0.0594,247.22,2.1
MO3,0.000607,0.0607,0.0334,49.33,3.3
M4,0.000381,0.0381,0.0248,326.47,2.4
M8,0.000243,0.0243,0.0104,277.90,5.4
