yil,std_cm,min_cm,max_cm,aralik_cm,n,uc_tarih
2010,9.982991091896167,-37.37894854510202,44.70165379796083,82.08060234306285,35040,2010-12-10 20:45:00+00:00
2011,10.55791727173631,-33.60239610008815,30.617433544581996,64.21982964467014,35040,2011-08-10 07:15:00+00:00
2012,7.716013570388025,-24.71538738115846,35.0953611584609,59.81074853961936,32973,2012-08-01 07:30:00+00:00
2013,10.298625523869045,-37.617090508145765,33.68737980372407,71.30447031186984,35040,2013-03-15 22:00:00+00:00
2014,11.761419182620573,-42.47443876455432,33.593776914682216,76.06821567923654,35040,2014-09-27 21:30:00+00:00
2015,10.93611038882537,-42.035690323345435,43.75055227832267,85.7862426016681,35040,2015-10-25 18:45:00+00:00
2016,9.185212036540575,-35.656246570978965,33.41396578927096,69.07021236024993,33763,2016-01-08 01:15:00+00:00
2017,12.330383753082035,-40.226079085091804,27.36856817870066,67.59464726379247,35040,2017-11-05 11:45:00+00:00
2018,9.946393811948523,-44.91133581218395,34.676804659509976,79.58814047169392,35040,2018-11-30 02:00:00+00:00
2019,10.582760067378265,-28.630290800568293,61.0380592055741,89.66835000614239,35040,2019-12-16 02:00:00+00:00
2020,10.648692425983967,-42.12078030177575,74.01133155326822,116.13211185504397,33404,2020-03-20 02:45:00+00:00
2021,11.543917771215137,-40.6663919212809,64.59075486981871,105.25714679109961,35039,2021-12-07 22:45:00+00:00
2022,11.320205118742473,-39.26085519724742,48.755296511456024,88.01615170870345,35040,2022-01-01 16:45:00+00:00
2023,12.563180395759149,-55.55176864982783,57.35553539664762,112.90730404647545,34915,2023-12-06 00:00:00+00:00
2024,8.572836413250966,-25.334324262944953,75.35907444535597,100.69339870830092,34847,2024-02-28 07:30:00+00:00
2025,11.860173659438516,-38.59642299785584,33.69108751328578,72.28751051114162,32334,2025-02-23 00:00:00+00:00
