yil,bozyazi,tasucu,erdemli,antalya
2005,,,43.3,27.8
2006,,,37.6,
2007,,,40.8,33.6
2008,,,32.9,35.3
2009,,49.0,48.4,47.5
2010,44.8,41.4,43.7,37.2
2011,49.4,46.0,46.2,49.3
2012,50.2,40.2,39.2,37.2
2013,52.6,44.8,44.7,41.6
2014,41.5,39.1,35.7,31.0
2015,45.3,48.2,39.2,37.6
2016,47.0,59.2,39.4,43.5
2017,42.5,62.3,37.8,38.2
2018,43.8,,41.5,
2019,60.8,46.0,38.7,36.7
2020,78.6,48.0,52.0,46.9
2021,73.9,41.4,39.3,37.3
2022,73.4,46.0,45.0,42.6
2023,53.3,40.5,42.8,38.3
2024,81.0,40.4,41.3,38.5
2025,61.2,39.4,39.1,35.4
2026,,42.6,39.6,43.8
